"CityGrows","-","-","-","-","-"
"Deduce","-","-","-","-","Information Technology"
"Stay clean","-","-","-","-","-"
"VideoElephant","-","-","-","-","-"
"Safewire","-","-","-","-","Information Technology"
"Taproot","-","-","-","-","-"
"Bicycle Health","-","-","11 to 50","-","-"
"eTrueNorth","-","-","-","-","Healthcare"
"Everwash","-","-","-","-","Automotive"
"Kevel","-","-","-","-","-"
"NearSt","-","-","-","-","-"
"Antenna","-","2006","11 to 50","$5M to $25M (USD)","Human Resources & Staffing"
"Trava","-","-","-","-","-"
"DLVR","-","-","-","-","-"
"Routing","-","-","-","-","-"
"Beekin","-","-","11 to 50","-","-"
"LodaSoft","-","-","-","-","-"
"Wellory","-","-","-","-","-"
"Katalon","-","-","-","-","-"
"See Yourself Health","-","-","-","-","Information Technology"
"Income Lab","-","-","-","-","-"
"Geaux Network","-","-","-","-","-"
"obé Fitness","-","-","-","-","-"
"Brandlive","-","-","less than
10","less than
$1M (USD)","-"
"Runway","-","-","11 to 50","-","-"
"Qumulex","-","2018","11 to 50","-","-"
"Giving Docs","-","-","-","-","-"
"GENIUS VÍDEO","-","-","-","-","-"
"Sales Boomerang","-","2017","11 to 50","-","Information Technology"
"TAP Network","-","-","-","-","-"
"Rockport Group","-","-","11 to 50","-","-"
"Trustfund","-","-","-","-","-"
"Lantern Debt Recovery Services Limited","-","2013","51 to 200","-","Financial Services"
"Manifest","-","-","201 to 500","$25M to $100M (USD)","Education & Training Services"
"filo","-","-","-","-","-"
"Dumbstruck","-","-","-","-","-"
"Become","-","-","-","-","Nonprofit & NGO"
"Viddler","-","2005","11 to 50","less than
$1M (USD)","-"
"Funnelytics","-","-","-","-","-"
"ustudio","-","-","11 to 50","-","Information Technology"
"MedArrive","-","-","-","-","-"
"AirDeck","-","-","-","-","-"
"Apty","-","-","-","-","-"
"HealNOW","-","-","-","-","-"
"ShoppingGives","-","-","-","-","-"
"Healthjump","-","-","-","-","-"
"DataBand","-","-","-","-","-"
"CityLife Health","-","-","-","-","Healthcare"
"BestEx Research","-","-","-","-","-"
"Workstorm","-","-","11 to 50","-","-"
"squarefeet","-","-","-","-","-"
"Kinetic Global","-","-","-","-","-"
"Payload","-","-","11 to 50","-","-"
"Welcome","-","2011","11 to 50","-","-"
"Matador.ai","-","-","-","-","-"
"Battleface","-","2018","11 to 50","-","-"
"Perigee","-","-","-","-","-"
"Aspire Software","-","-","-","-","-"
"Hued","-","-","-","-","-"
"PEAK6","-","-","-","-","-"
"TaxBit","-","-","-","-","Accounting & Tax"
"ARINTRA","-","-","-","-","-"
"epallet","-","2017","11 to 50","-","-"
"Vincent","-","-","-","-","Energy, Mining & Utilities"
"Sitehands","-","-","11 to 50","$1M to $5M (USD)","-"
"Metechi","-","-","-","-","-"
"SEEDS","-","-","51 to 200","-","Nonprofit & NGO"
"Mosaic","-","2003","5,001 to 10,000","$5B to $10B (USD)","Software Development"
"supernormal","-","-","-","-","-"
"TimelyMD","-","-","-","-","-"
"einBLICK","-","-","-","-","-"
"RxLightning","-","-","-","-","Information Technology"
"arilyn","-","-","-","-","-"
"SnapShot Interactive","-","2010","less than
10","less than
$1M (USD)","-"
"WhatConverts","-","-","-","-","-"
"ID Plans","-","-","11 to 50","$1M to $5M (USD)","-"
"Ampion","-","-","11 to 50","-","-"
"GRIFIN","-","-","-","-","-"
"Botco.ai","-","-","-","-","-"
"PowerPay","-","-","51 to 200","$5M to $25M (USD)","-"
"ClearTrace","-","-","-","-","Healthcare"
"Anduin","-","-","-","-","-"
"Freeman Capital","-","-","-","-","-"
"Praetorian","-","2010","less than
10","less than
$1M (USD)","-"
"Lumanu","-","-","-","-","-"
"Geniecast","-","-","-","-","Arts, Entertainment & Recreation"
"Maven Machines","-","-","11 to 50","-","Information Technology"
"Opslock","-","2017","11 to 50","-","-"
"iJustOrder","-","-","-","-","-"
"MakeCents","-","-","-","-","-"
"6ix","-","2016","11 to 50","-","-"
"Consensus","-","2013","1001 to 5,000","less than
$1M (USD)","Healthcare"
"Peach Street","-","-","-","-","-"
"Market Maker","-","-","51 to 200","-","Wholesale"
"Amp Recover","-","-","-","-","-"
"Careerflex","-","-","-","-","-"
"Inspiren","-","-","-","-","-"
"TherapyNotes LLC","-","-","-","-","-"
"tealbook","-","-","11 to 50","-","Information Technology"
"Dash Solutions","-","-","-","-","-"
"HiredScore","-","2013","11 to 50","-","-"
"ThinkWhy","-","-","-","-","-"
"ShiftX","-","-","-","-","-"
"Blueprint Title","-","-","-","-","-"
"Yac","-","-","-","-","-"
"Casted","-","-","-","-","-"
"Lower48 Analytics","-","-","-","-","-"
"CORVA","-","-","51 to 200","$1M to $5M (USD)","-"
"Awardco","-","2011","11 to 50","-","-"
"Doorboost","-","-","11 to 50","-","-"
"Eventeny","-","-","-","-","Arts, Entertainment & Recreation"
"Wyebot","-","-","-","-","-"
"AZOVA","-","-","11 to 50","less than
$1M (USD)","Healthcare"
"CodeNotary","-","-","-","-","-"
"LineSlip Solutions","-","-","11 to 50","-","-"
"TestFit","-","-","-","-","-"
"omniX labs","-","-","-","-","Automotive"
"knak","-","-","-","-","-"
"hitched","-","-","-","-","Retail & Wholesale"
"Envelope","-","-","-","-","-"
"Canopy Lawn Care","Hunt Davis","-","51 to 200","-","Management & Consulting"
"AXISCARE","-","-","11 to 50","-","-"
"SCALEX","-","-","-","-","-"
"Steignet","-","-","11 to 50","-","-"
"SafetyPIN","-","-","-","-","-"
"Wealthbox","-","-","-","-","-"
"LaborChart","-","2014","less than
10","-","-"
"Outcomes4Me","-","-","-","-","-"
"PINWHEEL","-","-","-","-","Information Technology"
"Help Scout","-","2011","11 to 50","-","-"
"LendingWise","-","-","-","-","Education"
"PlaybookUX","-","-","-","-","-"
"LexSet","-","-","-","-","-"
"UltraServe","-","-","-","-","-"
"Gale Healthcare Solutions","Tony Braswell","-","more than
10,000","-","Human Resources & Staffing"
"Shelvspace","-","-","11 to 50","-","-"
"Bondhouse","-","-","-","-","-"
"UDoTest","-","-","-","-","-"
"Kvantum","-","-","-","-","-"
"Unito","-","2015","11 to 50","-","Information Technology"
"Plum","-","-","less than
10","-","Retail & Wholesale"
"Devada","-","2005","11 to 50","$1M to $5M (USD)","-"
"AXLE","-","-","-","-","-"
"Pairin","-","2012","11 to 50","-","-"
"LENDSMART","-","-","-","-","-"
"Remitter","-","-","-","-","-"
"FlightAware","-","2005","11 to 50","less than
$1M (USD)","-"
"Phobio","-","2010","11 to 50","$5M to $25M (USD)","-"
"Engage","-","-","11 to 50","-","Information Technology"
"Spoonshot","-","-","-","-","-"
"OneDine","-","-","-","-","-"
"IN FORCE911","-","-","-","-","-"
"Chargeback","-","2011","less than
10","less than
$1M (USD)","-"
"Kumanu","-","-","-","-","-"
"M1NERAL","-","-","-","-","Energy, Mining & Utilities"
"Bambu Systems","-","-","-","-","-"
"Washify","-","-","11 to 50","-","Construction & Facilities Services"
"Wooly","-","-","-","-","-"
"MedCrypt","-","-","-","-","-"
"Brahmin Solutions","-","-","11 to 50","-","-"
"Medacist","-","-","-","-","Healthcare"
"Torii","-","-","-","-","Real Estate"
"CONCORA","-","-","-","-","-"
"SkyTouch Technology","-","2013","201 to 500","-","Information Technology"
"InsuraMatch","-","-","-","-","Insurance"
"Wanido","-","-","-","-","-"
"Cohley","-","-","11 to 50","-","-"
"PinPoint Technology","-","-","-","-","-"
"BrandVerge","-","-","-","-","-"
"Simfoni","-","-","-","-","-"
"Pawlicy Advisor","-","-","-","-","-"
"KPI NINJA","-","-","-","-","-"
"Kronologic","-","-","-","-","-"
"MAJORITY","-","-","-","-","-"
"Deliveright Logistics","-","-","-","-","-"
"hrsoft","-","2010","11 to 50","$1M to $5M (USD)","Information Technology"
"Lightico","-","-","-","-","-"
"uKnow.com","-","-","less than
10","less than
$1M (USD)","-"
"Unscrambl","-","-","less than
10","less than
$1M (USD)","-"
"Tolemi","-","2016","11 to 50","-","Information Technology"
"Ziggeo","-","-","-","-","-"
"cClearly","-","-","11 to 50","-","-"
"Imperative Execution","-","-","-","-","-"
"Clever Real Estate","-","-","11 to 50","-","Real Estate"
"Melp","-","-","-","-","-"
"Vodori","-","2005","51 to 200","$5M to $25M (USD)","Information Technology"
"Xendoo","-","-","11 to 50","-","Financial Services"
"Addaptive","-","2010","11 to 50","less than
$1M (USD)","-"
"RxLive","Mark Engelen","-","less than
10","less than
$1M (USD)","Healthcare"
"8base","-","-","-","-","-"
"ClipperData","-","-","-","-","-"
"Vistar Media","-","2011","11 to 50","-","-"
"Pulse Infoframe","-","-","11 to 50","-","Healthcare"
"RockDove Solutions","-","-","11 to 50","$1M to $5M (USD)","-"
"Novo Labs","-","-","-","-","-"
"PolyPort","-","-","-","-","-"
"Extreme Scale Solutions","-","-","11 to 50","-","-"
"Mark Labs","-","-","-","-","-"
"Ride Health","-","-","11 to 50","-","-"
"vendorspace","-","-","-","-","-"
"Skipta","-","-","11 to 50","less than
$1M (USD)","-"
"Hiteks","-","-","-","-","-"
"Honeyfi","-","-","11 to 50","-","Financial Services"
"CareSet Systems","-","-","11 to 50","-","-"
"Avanoo","Daniel Jacobs","2013","11 to 50","less than
$1M (USD)","Information Technology"
"Blueswipe","-","2013","less than
10","less than
$1M (USD)","-"
"CyberSaint Security","-","-","-","-","-"
"diet","-","-","-","-","-"
"Rockerbox","-","-","11 to 50","less than
$1M (USD)","-"
"Galaxy.AI","-","-","11 to 50","-","-"
"GreenMile","-","2005","51 to 200","-","-"
"Osmosis","-","2016","less than
10","-","-"
"Prosperoware","-","-","51 to 200","-","Information Technology"
"Box Score Games","-","-","-","-","-"
"sundar","-","-","-","-","-"
"BankingON","-","-","-","-","-"
"COI Energy Services","-","-","-","-","-"
"Mirror.me","-","-","-","-","-"
"PatientFocus","-","-","11 to 50","-","-"
"LifeWallet","-","-","11 to 50","-","-"
"Cosy","-","-","-","-","-"
"Mezu","-","-","-","-","-"
"Near-Miss Management","-","-","-","-","-"
"Channeltivity","-","-","-","-","-"
"SnapShyft","-","-","-","-","-"
"ChurnZero","-","2015","11 to 50","-","-"
"TrueAbility","-","2012","less than
10","-","-"
"GeneMatters","-","-","-","-","Healthcare"
"Airtory","-","-","11 to 50","-","-"
"Ario","-","2017","11 to 50","-","-"
"VITAL4DATA","-","-","-","-","-"
"Agile Health","-","-","11 to 50","-","-"
"TickSmith","-","-","11 to 50","-","-"
"FRINGE","-","-","-","-","-"
"Kindur","-","-","11 to 50","-","-"
"Envisagenics","-","-","-","-","-"
"Finova Financial","-","-","11 to 50","-","-"
"Digital Immunity","-","-","-","-","-"
"Blinkfire Analytics","-","-","-","-","-"
"Vantage Analytics","-","-","-","-","-"
"LoanWell","-","-","-","-","-"
"BurstIQ","-","-","-","-","-"
"BandyWorks","-","-","-","-","-"
"Pulse Commerce","-","2000","11 to 50","-","-"
"Coherent Path","-","-","less than
10","-","-"
"Stackify","-","-","11 to 50","$1M to $5M (USD)","-"
"CleanCapital","-","-","-","-","-"
"Hugo Health","-","-","-","-","-"
"Casentric","-","-","11 to 50","-","-"
"Porter & Sail","-","-","-","-","-"
"TurningPoint Healthcare Solutions, LLC","-","-","51 to 200","-","Healthcare"
"Etna","-","2004","1001 to 5,000","-","Retail & Wholesale"
"Epharmix","-","-","-","-","-"
"Hunt Club","-","2015","11 to 50","-","-"
"Propel IT","-","2010","less than
10","-","-"
"RxEOB","-","-","-","-","-"
"Nutrimedy","-","-","-","-","-"
"Horizn (Horizon Studios)","-","-","-","-","-"
"OnsiteIQ","-","2017","11 to 50","-","Construction & Facilities Services"
"Zentail","-","2015","11 to 50","-","-"
"Texture Health","-","-","11 to 50","-","-"
"The Garage","-","-","11 to 50","-","Automotive"
"Zuppler","-","-","11 to 50","$1M to $5M (USD)","Information Technology"
"WISR","-","2016","11 to 50","-","Information Technology"
"Amino","-","-","51 to 200","$25M to $100M (USD)","-"
"GeoWealth","-","-","-","-","Financial Services"
"Neighborly Software","-","-","-","-","-"
"Native","-","2001","11 to 50","less than
$1M (USD)","Information Technology"
"PayFi","-","-","-","-","-"
"Reveal Mobile","-","-","less than
10","less than
$1M (USD)","-"
"BOND.AI","-","-","-","-","Internet & Web Services"
"CERTIFID","-","-","-","-","-"
"JourneyApps","-","-","51 to 200","-","-"
"KeraFAST","-","-","-","-","-"
"MADE4NET","-","-","51 to 200","-","-"
"Business Credentialing Services","-","-","11 to 50","-","-"
"Sopris Health","-","-","-","-","-"
"TruQC","-","-","-","-","-"
"KISI","-","-","less than
10","less than
$1M (USD)","-"
"BCAUSE","-","-","-","-","-"
"Springboard Retail","-","2014","11 to 50","less than
$1M (USD)","Information Technology"
"Deposco","-","-","11 to 50","$5M to $25M (USD)","-"
"Cloudnexa","-","2012","11 to 50","$1M to $5M (USD)","Information Technology"
"NextLOGiK","-","2013","11 to 50","less than
$1M (USD)","-"
"Centriam","-","2012","11 to 50","-","-"
"MANTL","-","-","11 to 50","-","-"
"OPTIONSPLAY","-","-","-","-","-"
"SwipeSum","-","-","-","-","-"
"Hotel Effectiveness","-","-","-","-","-"
"MESH01","-","-","less than
10","-","-"
"EquityZen","Atish Davda","2013","51 to 200","$25M to $100M (USD)","Financial Services"
"Qmulos","-","-","-","-","-"
"Ekare","-","-","-","-","-"
"ForwardLane","-","-","51 to 200","-","-"
"Cultivate Labs","-","-","-","-","-"
"Terakeet","MacLaren Cummings","2001","201 to 500","$25M to $100M (USD)","Information Technology"
"Motivosity","-","-","11 to 50","-","-"
"Relovate","-","-","less than
10","less than
$1M (USD)","-"
"Wayerz","-","-","-","-","-"
"Cariloop","-","2012","less than
10","less than
$1M (USD)","-"
"MindMatrix","-","1998","201 to 500","-","Software Development"
"backstitch","-","-","11 to 50","-","-"
"RynohLive","-","2007","11 to 50","-","-"
"Ankota","-","-","-","-","-"
"BrightDime","-","-","-","-","Financial Services"
"EnsoData","-","-","-","-","-"
"StrategyCorps","-","-","51 to 200","-","-"
"SeriesX","-","-","-","-","-"
"Vault","-","2013","less than
10","-","Financial Services"
"SolePower","-","-","less than
10","-","-"
"Zype","-","2014","11 to 50","$1M to $5M (USD)","-"
"MedZed","-","-","less than
10","less than
$1M (USD)","Healthcare"
"Washe","-","-","11 to 50","-","-"
"Indicative","-","2014","11 to 50","-","Information Technology"
"Rendever","-","-","-","-","-"
"ViziRecruiter","-","-","-","-","-"
"Sourcemap","-","-","-","-","-"
"ThreatSwitch","-","2016","11 to 50","-","-"
"LawTrades","-","2016","11 to 50","-","-"
"Vitally","-","-","-","-","-"
"Novi Labs","-","-","-","-","-"
"Threat X","-","-","-","-","-"
"enVista","-","2002","51 to 200","$25M to $100M (USD)","-"
"Mobile Insight","-","-","-","-","-"
"SpectraMedix","-","2009","51 to 200","-","-"
"Qiigo","-","2006","11 to 50","$1M to $5M (USD)","-"
"WellRight, LLC","-","2014","less than
10","less than
$1M (USD)","-"
"Spatial","-","-","11 to 50","-","-"
"DIASYST","-","2015","11 to 50","-","-"
"Slingshot Health","-","-","11 to 50","-","-"
"JETSON","-","-","-","-","-"
"Sonobi","-","-","501 to 1,000","-","-"
"MedicFP","-","-","51 to 200","-","-"
"Ripple Recruiting","-","-","-","-","-"
"Glance Networks","-","2000","11 to 50","$1M to $5M (USD)","-"
"Citia","-","2012","less than
10","less than
$1M (USD)","Media & Communication"
"CLORA","-","-","-","-","-"
"OBIE","-","-","-","-","Insurance"
"Crystal","-","-","11 to 50","$1M to $5M (USD)","Information Technology"
"Trust Metrics","-","-","11 to 50","-","-"
"Health eFilings","-","-","-","-","-"
"DATAGRAN","-","-","-","-","-"
"Virima Technologies","-","-","11 to 50","$5M to $25M (USD)","-"
"Kugadi","-","-","-","-","-"
"Relatable","-","2016","11 to 50","-","-"
"Teller","-","-","-","-","-"
"stackArmor","-","-","11 to 50","-","-"
"MedCall Advisors","-","-","-","-","-"
"Beezy","-","-","11 to 50","-","-"
"Point of Care","-","-","-","-","-"
"MIK Fund Solutions","-","-","51 to 200","-","-"
"Sentenai","-","-","-","-","-"
"Alphapipe","-","-","11 to 50","-","-"
"RaceMenu","-","2009","less than
10","-","-"
"Cupcake Digital, Inc","-","-","-","-","-"
"Brightflag","Ian Nolan","2015","51 to 200","-","Information Technology"
"Spellbound","-","-","11 to 50","-","-"
"Crelate","-","-","less than
10","-","-"
"Xsolis","-","2013","51 to 200","$5M to $25M (USD)","Healthcare"
"THIRSTIE","-","-","-","-","Information Technology"
"Hologram","-","-","11 to 50","-","-"
"Trendata","-","-","11 to 50","-","-"
"TVEyes","-","-","-","-","-"
"TurnTo Networks","-","-","-","-","-"
"Inkit","-","-","-","-","-"
"HT Mobile Apps","-","-","-","-","-"
"RoundingWell","-","-","11 to 50","-","-"
"Snappy Gifts","-","-","-","-","-"
"CommercialTribe","-","-","11 to 50","$1M to $5M (USD)","-"
"Social Market Analytics","-","-","less than
10","-","-"
"OpenMarkets","-","2011","11 to 50","less than
$1M (USD)","-"
"Zudy","Charles Nardi","2013","11 to 50","-","Information Technology"
"FirstPoint Mobile Guard","-","-","11 to 50","-","-"
"Inbox Health","Blake Walker","2014","less than
10","less than
$1M (USD)","Information Technology"
"Cerebro Capital","-","-","-","-","-"
"Diffeo","-","-","11 to 50","-","-"
"LeadMaster","-","-","11 to 50","$5M to $25M (USD)","-"
"Vartopia","-","-","less than
10","less than
$1M (USD)","-"
"Rent Ready","-","-","11 to 50","-","-"
"Intelligent Mobile Support","-","-","-","-","-"
"SaneBox","-","2007","less than
10","less than
$1M (USD)","-"
"Curvo Labs","-","-","-","-","-"
"BigML","-","-","11 to 50","-","-"
"Advanced Fraud Solutions","-","-","-","-","-"
"STRUCTURAL","Peter H. Emmons","1976","1001 to 5,000","$500M to $1B (USD)","Construction & Facilities Services"
"Constellation Digital Partners","-","-","-","-","-"
"untapt","-","2013","11 to 50","-","-"
"COMPANY NAME","CEO","Founded","Company size","Revenue","Industry"
"starship","-","-","11 to 50","-","-"
"Interactyx","-","-","11 to 50","$1M to $5M (USD)","-"
"NO NAME","-","-","-","-","-"
"Engagedly","-","2015","11 to 50","-","-"
"Intelligence Community","-","-","-","-","-"
"Paygevity","-","-","-","-","-"
"Tarmin","-","-","51 to 200","$5M to $25M (USD)","-"
"QUIQMEDS","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Transparensee Systems","-","-","-","-","-"
"Alora Healthcare Systems","-","-","-","-","-"
"Mulberry","-","-","-","-","Retail & Wholesale"
"Deep Root Analytics","-","-","11 to 50","-","-"
"Equarius Risk Analytics","-","-","-","-","-"
"mSIGNIA","-","-","-","-","-"
"RefineRE","-","-","-","-","-"
"ProfitWell","-","2012","less than
10","-","-"
"Avvir","-","-","-","-","-"
"Payability","-","2013","less than
10","less than
$1M (USD)","-"
"Qoins","-","-","11 to 50","-","-"
"Wellbridge Health","-","-","-","-","-"
"Paddle HR","-","-","-","-","-"
"SHOFLO","-","-","less than
10","less than
$1M (USD)","-"
"Splash Financial","-","-","11 to 50","-","Financial Services"
"Navimize","-","-","-","-","-"
"Parallax Enterprises","-","-","-","-","-"
"Over The Shoulder","-","-","-","-","-"
"Vigilant","-","-","-","-","Management & Consulting"
"NO NAME","-","-","-","-","-"
"Aureus Analytics","-","2013","11 to 50","-","-"
"Casechek","-","-","-","-","-"
"CallingDr","-","-","-","-","-"
"Till","-","-","-","-","-"
"DataSeers","-","-","-","-","-"
"Naveego","-","2013","11 to 50","-","-"
"SirenMD","-","-","11 to 50","-","-"
"LANE","-","-","-","-","-"
"Patrocinium Systems","-","-","-","-","-"
"Florence Healthcare","-","2014","11 to 50","-","Healthcare"
"Kitewheel","-","-","11 to 50","less than
$1M (USD)","-"
"OpsCompass","-","-","11 to 50","-","-"
"Passage","-","-","-","-","-"
"HONEY","-","2003","201 to 500","-","-"
"Patientbond","-","-","11 to 50","-","Information Technology Support Services"
"MedStatix","-","-","-","-","-"
"Keemotion","-","-","-","-","-"
"Radialogica","-","-","less than
10","less than
$1M (USD)","-"
"DotCom Therapy®","Rachel Robinson","2015","51 to 200","less than
$1M (USD)","Healthcare"
"Hitch Health","-","-","-","-","-"
"Revenue Technology Services Corporation","-","-","-","-","-"
"Rival Systems","-","2015","11 to 50","-","-"
"DaisyBill","-","-","-","-","-"
"Batchbook","-","-","-","-","-"
"Frase","-","-","-","-","-"
"Voicify","-","-","11 to 50","-","-"
"Zylotech","-","2014","11 to 50","-","-"
"WiredBlue","-","-","11 to 50","-","-"
"Yip Yip","-","-","-","-","-"
"Sagewell","-","-","less than
10","less than
$1M (USD)","-"
"Infocyte","-","2014","less than
10","less than
$1M (USD)","-"
"CareAcademy","-","-","less than
10","less than
$1M (USD)","-"
"Skillist","-","-","-","-","Human Resources & Staffing"
"VendEngine","-","-","-","-","-"
"Alpha Theory","-","2006","11 to 50","$1M to $5M (USD)","-"
"Rational Enterprise","-","2006","51 to 200","less than
$1M (USD)","Legal Services"
"Popwallet","-","-","-","-","-"
"zakipoint Health","-","-","11 to 50","-","-"
"NO NAME","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Torchlite","-","2015","11 to 50","-","-"
"Jellyfish Health","-","-","-","-","-"
"Q-nomy","-","-","-","-","-"
"Smonik Investment Systems","-","-","-","-","-"
"phData","Ryan Bosshart","2014","51 to 200","-","Information Technology"
"Remy","-","-","-","-","-"
"SkoolLive","-","-","11 to 50","-","Media & Communication"
"Aerial Applications","-","2015","less than
10","less than
$1M (USD)","-"
"Bellrock Intelligence","-","-","-","-","-"
"Leverage point","-","-","-","-","-"
"Plus One Robotics","-","-","11 to 50","-","-"
"Radix Health","-","-","-","-","-"
"ChronWell","-","2017","11 to 50","-","Healthcare"
"SecureHome","-","-","-","-","-"
"Credly","-","2012","11 to 50","less than
$1M (USD)","-"
"BeeWell","-","-","-","-","-"
"Skubana","-","2013","11 to 50","-","-"
"VanillaSoft","-","2003","11 to 50","-","Information Technology"
"Virzoom","-","-","-","-","-"
"Pillar Technologies","-","2015","11 to 50","-","-"
"SentiAR","-","-","11 to 50","-","-"
"Elysium Technology","-","-","-","-","-"
"Spark Hire","-","-","-","-","-"
"nuvizz","-","-","-","-","-"
"Climb Credit","-","2014","less than
10","-","-"
"ARDENT SECURITY","-","-","-","-","-"
"EXACTER","-","-","-","-","-"
"STAE","-","-","-","-","-"
"Promoboxx","-","2010","less than
10","less than
$1M (USD)","-"
"Draftbit","-","-","11 to 50","-","-"
"UZURV","-","-","11 to 50","-","-"
"NewsWhip","-","2010","51 to 200","-","Information Technology"
"Dejavoo Systems","-","-","-","-","-"
"FACTGEM","-","-","-","-","-"
"HazelTree Fund Services","-","-","-","-","-"
"Basis Technology","-","-","-","-","Information Technology"
"Ordoro","Jagath Narayan","-","11 to 50","$1M to $5M (USD)","Information Technology"
"SRG Technology","-","-","less than
10","less than
$1M (USD)","-"
"InfoReady","Martin Mercer","-","501 to 1,000","$100M to $500M (USD)","Information Technology"
"Droplit","-","-","-","-","-"
"Covetool","-","-","-","-","Management & Consulting"
"Dynepic","-","-","-","-","Information Technology"
"LiDAC","-","-","less than
10","-","-"
"Bonfyre App","-","2012","less than
10","less than
$1M (USD)","-"
"Calendly","Tope Awotona","2013","51 to 200","less than
$1M (USD)","Information Technology"
"SwiftMD","-","-","-","-","Healthcare"
"FactoryFix","-","2016","less than
10","less than
$1M (USD)","Human Resources & Staffing"
"Centage Corporation","-","2001","51 to 200","$5M to $25M (USD)","Information Technology"
"Revzi","Paul Hadfield","2014","11 to 50","-","Consulting and Business Services"
"Finomial","-","-","-","-","-"
"Sustrana","-","-","-","-","-"
"Allbound","-","2015","less than
10","less than
$1M (USD)","-"
"DATIS","-","-","-","-","-"
"Medicasafe","-","-","-","-","-"
"Parse.ly","-","-","-","-","-"
"Vizbee","-","-","-","-","-"
"Sentimetrix","-","-","-","-","-"
"SoGoSurvey","-","-","51 to 200","-","-"
"Telnyx","-","-","-","-","-"
"TrackOFF","-","2015","11 to 50","$1M to $5M (USD)","-"
"privacy","-","-","11 to 50","-","-"
"Spider Strategies","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"SkyFoundry","-","-","-","-","-"
"Paradigm4","-","-","11 to 50","-","-"
"Sensource","-","-","-","-","-"
"Consortiex","-","2013","51 to 200","-","Pharmaceutical & Biotechnology"
"Stratyfy","-","-","11 to 50","-","-"
"ChronicCareIQ","-","-","-","-","-"
"Radformation","-","-","11 to 50","-","Healthcare"
"Prevail InfoWorks","-","-","51 to 200","-","-"
"AnswerRocket","-","2013","11 to 50","-","-"
"Sidewalk","-","2007","51 to 200","-","-"
"Kryptowire","-","-","11 to 50","-","-"
"Verady","-","-","11 to 50","-","-"
"Imandra","-","-","-","-","-"
"CorpAxe","-","-","-","-","-"
"Global Debt Registry","-","-","-","-","-"
"ClearView Social","-","2013","less than
10","less than
$1M (USD)","-"
"ROSCA","-","-","-","-","-"
"inSync Healthcare Solutions","-","2014","51 to 200","-","Healthcare"
"Squadle","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"B4B Payments","-","-","-","-","-"
"Jopwell","-","2014","11 to 50","-","Aerospace & Defense"
"Homepolish","-","2012","11 to 50","$1M to $5M (USD)","-"
"Raisal","-","-","-","-","-"
"HealthReveal","-","-","less than
10","less than
$1M (USD)","-"
"RELODE","-","2014","less than
10","less than
$1M (USD)","Health Care Products Manufacturing"
"Chartable","-","-","-","-","-"
"CaterCow","-","-","-","-","-"
"Nexza","-","2018","11 to 50","-","-"
"Ekran System","-","-","-","-","-"
"CloudGenera","-","-","11 to 50","$1M to $5M (USD)","-"
"ENODO","-","-","-","-","-"
"FarmLead","-","2012","less than
10","less than
$1M (USD)","-"
"Surefire Local","-","2009","11 to 50","less than
$1M (USD)","Information Technology"
"Liquidware Labs","-","-","-","-","-"
"FirstAI","-","-","11 to 50","-","-"
"Groove Health","-","-","-","-","-"
"Zoom.ai","-","-","-","-","-"
"LenderLogix","-","-","-","-","-"
"Arlene","-","-","-","-","-"
"Blackpoint Cyber","-","-","-","-","-"
"Dark Cubed","-","-","11 to 50","-","Information Technology"
"Ivy Exec","-","2007","11 to 50","less than
$1M (USD)","Consulting and Business Services"
"AdviNow","-","-","-","-","-"
"Readymag","-","-","11 to 50","-","-"
"Reality AI","-","-","-","-","-"
"Virtual DBS","-","-","11 to 50","$1M to $5M (USD)","Information Technology"
"Novo Recruiting","-","-","less than
10","-","Human Resources & Staffing"
"Trinisys","-","2004","less than
10","less than
$1M (USD)","Information Technology"
"Blumira","-","-","-","-","-"
"Medxoom","-","-","-","-","-"
"Curate","-","2013","11 to 50","$1M to $5M (USD)","-"
"Create, Inc.","-","-","51 to 200","$5M to $25M (USD)","Nonprofit & NGO"
"Rx.health","-","2016","11 to 50","-","-"
"Omnilert","-","-","-","-","-"
"Culinary Agents","-","-","11 to 50","$5M to $25M (USD)","Food and Beverages"
"Blueprint Income","-","-","11 to 50","-","-"
"BioConnect","-","2009","51 to 200","-","-"
"RegDesk","-","-","-","-","-"
"doForms","-","-","-","-","-"
"Ataccama","-","-","-","-","-"
"Selequity","-","-","11 to 50","-","-"
"TALMETRIX","-","2016","11 to 50","-","-"
"NextMark","-","-","-","-","-"
"Netshield","-","2013","11 to 50","-","-"
"Thunderbolt Innovation","-","-","-","-","-"
"Inspectorio","-","2016","51 to 200","-","-"
"CloudLex","-","-","-","-","-"
"MortgageHippo","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Inshur","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"Speak2 Software","-","-","-","-","-"
"Genus","-","-","-","-","-"
"PhoneWagon","-","-","11 to 50","-","-"
"EnDevor","-","-","-","-","-"
"Lumina Analytics","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
"BIGTEAM","-","-","-","-","-"
"NO NAME","-","-","-","-","-"
